행정구역,2012년12월_계_총인구수,2012년12월_계_연령구간인구수,2012년12월_계_60~64세,2012년12월_계_65~69세,2012년12월_계_70~74세,2012년12월_계_75~79세,2012년12월_계_80~84세,2012년12월_계_85~89세,2012년12월_계_90~94세,2012년12월_계_95~99세,2012년12월_계_100세 이상,2012년12월_남_총인구수,2012년12월_남_연령구간인구수,2012년12월_남_60~64세,2012년12월_남_65~69세,2012년12월_남_70~74세,2012년12월_남_75~79세,2012년12월_남_80~84세,2012년12월_남_85~89세,2012년12월_남_90~94세,2012년12월_남_95~99세,2012년12월_남_100세 이상,2012년12월_여_총인구수,2012년12월_여_연령구간인구수,2012년12월_여_60~64세,2012년12월_여_65~69세,2012년12월_여_70~74세,2012년12월_여_75~79세,2012년12월_여_80~84세,2012년12월_여_85~89세,2012년12월_여_90~94세,2012년12월_여_95~99세,2012년12월_여_100세 이상
전국  (0000000000),"50,948,272","8,408,663","2,428,603","1,899,933","1,774,343","1,196,000","663,632","301,459","106,586","25,450","12,657","25,504,060","3,655,359","1,189,791","893,794","779,224","467,062","210,864","81,249","25,325","5,142","2,908","25,444,212","4,753,304","1,238,812","1,006,139","995,119","728,938","452,768","220,210","81,261","20,308","9,749"
서울특별시  (1100000000),"10,195,318","1,619,521","513,938","401,794","326,428","193,611","104,821","50,315","19,298","5,390","3,926","5,041,336","729,390","247,439","191,499","153,800","80,347","35,037","13,915","5,098","1,259",996,"5,153,982","890,131","266,499","210,295","172,628","113,264","69,784","36,400","14,200","4,131","2,930"
부산광역시  (2600000000),"3,538,484","657,106","214,907","156,443","133,545","81,272","43,465","18,917","5,895","1,479","1,183","1,754,479","291,633","104,575","75,014","60,041","32,074","13,515","4,575","1,301",282,256,"1,784,005","365,473","110,332","81,429","73,504","49,198","29,950","14,342","4,594","1,197",927
대구광역시  (2700000000),"2,505,644","401,870","127,718","89,825","83,681","54,550","28,719","12,212","3,868",880,417,"1,249,320","173,100","61,288","41,231","36,065","21,207","8,987","3,261",814,164,83,"1,256,324","228,770","66,430","48,594","47,616","33,343","19,732","8,951","3,054",716,334
인천광역시  (2800000000),"2,843,981","384,237","117,178","89,855","76,637","50,974","29,237","13,789","4,897","1,158",512,"1,431,593","169,303","59,134","43,013","33,449","19,489","8,886","3,653","1,292",255,132,"1,412,388","214,934","58,044","46,842","43,188","31,485","20,351","10,136","3,605",903,380
광주광역시  (2900000000),"1,469,216","207,611","62,879","48,397","43,021","27,320","15,460","7,100","2,591",576,267,"728,406","89,304","30,084","22,658","18,868","10,487","4,798","1,837",469,69,34,"740,810","118,307","32,795","25,739","24,153","16,833","10,662","5,263","2,122",507,233
대전광역시  (3000000000),"1,524,583","207,941","64,962","46,849","41,868","28,060","15,660","7,247","2,454",616,225,"763,671","91,891","32,237","22,317","18,528","11,005","4,990","1,998",626,140,50,"760,912","116,050","32,725","24,532","23,340","17,055","10,670","5,249","1,828",476,175
울산광역시  (3100000000),"1,147,256","133,844","48,108","30,532","25,179","15,593","8,701","4,025","1,308",296,102,"590,424","60,582","25,021","15,180","11,292","5,664","2,384",757,224,46,14,"556,832","73,262","23,087","15,352","13,887","9,929","6,317","3,268","1,084",250,88
세종특별자치시  (3600000000),"113,117","22,906","5,692","4,556","5,064","3,850","2,263","1,007",352,83,39,"57,633","9,785","2,808","2,109","2,195","1,542",724,289,88,14,16,"55,484","13,121","2,884","2,447","2,869","2,308","1,539",718,264,69,23
경기도  (4100000000),"12,093,299","1,601,518","466,276","372,403","332,927","223,672","122,147","56,458","20,480","4,856","2,299","6,091,035","704,002","229,929","174,784","147,104","89,179","40,169","15,770","5,387","1,067",613,"6,002,264","897,516","236,347","197,619","185,823","134,493","81,978","40,688","15,093","3,789","1,686"
