"행정구역","2014년12월_계_총인구수","2014년12월_계_연령구간인구수","2014년12월_계_60~64세","2014년12월_계_65~69세","2014년12월_계_70~74세","2014년12월_계_75~79세","2014년12월_계_80~84세","2014년12월_계_85~89세","2014년12월_계_90~94세","2014년12월_계_95~99세","2014년12월_계_100세 이상","2014년12월_남_총인구수","2014년12월_남_연령구간인구수","2014년12월_남_60~64세","2014년12월_남_65~69세","2014년12월_남_70~74세","2014년12월_남_75~79세","2014년12월_남_80~84세","2014년12월_남_85~89세","2014년12월_남_90~94세","2014년12월_남_95~99세","2014년12월_남_100세 이상","2014년12월_여_총인구수","2014년12월_여_연령구간인구수","2014년12월_여_60~64세","2014년12월_여_65~69세","2014년12월_여_70~74세","2014년12월_여_75~79세","2014년12월_여_80~84세","2014년12월_여_85~89세","2014년12월_여_90~94세","2014년12월_여_95~99세","2014년12월_여_100세 이상"
"전국  (0000000000)","51,327,916","9,147,370","2,626,763","2,079,345","1,800,922","1,345,682","766,736","357,407","126,692","28,817","15,006","25,669,296","4,016,951","1,290,056","994,183","800,094","540,915","255,600","95,969","30,434","6,200","3,500","25,658,620","5,130,419","1,336,707","1,085,162","1,000,828","804,767","511,136","261,438","96,258","22,617","11,506"
"서울특별시  (1100000000)","10,103,233","1,759,482","542,953","437,267","344,188","224,660","118,754","58,585","22,462","5,942","4,671","4,979,768","794,854","260,560","207,207","162,278","97,193","42,350","16,541","6,016","1,500","1,209","5,123,465","964,628","282,393","230,060","181,910","127,467","76,404","42,044","16,446","4,442","3,462"
"부산광역시  (2600000000)","3,519,401","720,268","228,152","173,653","141,804","93,770","49,767","22,961","7,208","1,546","1,407","1,740,417","321,668","111,179","82,870","64,681","38,399","16,575","5,724","1,620","312","308","1,778,984","398,600","116,973","90,783","77,123","55,371","33,192","17,237","5,588","1,234","1,099"
"대구광역시  (2700000000)","2,493,264","438,702","135,165","100,243","86,765","61,803","34,151","14,454","4,627","993","501","1,241,119","190,592","65,083","46,722","37,662","24,540","11,395","3,881","1,004","198","107","1,252,145","248,110","70,082","53,521","49,103","37,263","22,756","10,573","3,623","795","394"
"인천광역시  (2800000000)","2,902,608","429,563","131,612","101,377","80,098","58,456","33,564","16,387","6,058","1,393","618","1,459,074","191,668","66,217","49,231","35,932","23,179","10,796","4,235","1,580","337","161","1,443,534","237,895","65,395","52,146","44,166","35,277","22,768","12,152","4,478","1,056","457"
"광주광역시  (2900000000)","1,475,884","224,771","64,949","54,695","44,029","30,913","17,714","8,518","2,986","667","300","731,339","97,355","31,064","25,677","19,550","12,340","5,732","2,271","601","89","31","744,545","127,416","33,885","29,018","24,479","18,573","11,982","6,247","2,385","578","269"
"대전광역시  (3000000000)","1,531,809","229,976","71,647","52,731","43,260","31,666","18,261","8,452","3,012","687","260","766,497","102,697","35,419","25,561","19,421","12,852","6,164","2,331","729","162","58","765,312","127,279","36,228","27,170","23,839","18,814","12,097","6,121","2,283","525","202"
"울산광역시  (3100000000)","1,166,377","152,208","54,958","35,584","27,048","17,737","10,111","4,736","1,608","298","128","600,904","70,238","28,443","18,163","12,374","6,898","3,067","957","259","52","25","565,473","81,970","26,515","17,421","14,674","10,839","7,044","3,779","1,349","246","103"
"세종특별자치시  (3600000000)","156,125","26,728","6,951","5,418","5,294","4,394","2,786","1,295","465","91","34","78,862","11,552","3,473","2,558","2,313","1,785","938","344","123","8","10","77,263","15,176","3,478","2,860","2,981","2,609","1,848","951","342","83","24"
"경기도  (4100000000)","12,357,830","1,780,595","526,150","410,808","344,170","255,530","143,036","67,809","24,673","5,660","2,759","6,219,813","793,312","261,540","196,371","153,899","104,560","49,590","18,710","6,554","1,355","733","6,138,017","987,283","264,610","214,437","190,271","150,970","93,446","49,099","18,119","4,305","2,026"
"강원도  (4200000000)","1,544,442","344,204","88,274","72,361","73,256","56,843","30,548","15,347","5,681","1,340","554","778,007","149,772","43,323","34,427","32,425","23,480","9,920","4,038","1,629","336","194","766,435","194,432","44,951","37,934","40,831","33,363","20,628","11,309","4,052","1,004","360"
"충청북도  (4300000000)","1,578,933","311,551","82,651","64,080","63,061","52,342","29,956","13,513","4,555","993","400","796,141","135,323","41,032","31,104","27,477","20,873","9,742","3,693","1,101","197","104","782,792","176,228","41,619","32,976","35,584","31,469","20,214","9,820","3,454","796","296"
"충청남도  (4400000000)","2,062,273","438,235","107,428","89,231","86,275","77,411","47,376","21,079","7,148","1,666","621","1,045,892","190,003","52,896","43,513","37,231","31,015","16,938","6,219","1,699","372","120","1,016,381","248,232","54,532","45,718","49,044","46,396","30,438","14,860","5,449","1,294","501"
"전라북도  (4500000000)","1,871,560","428,786","106,160","91,901","85,317","71,862","44,223","20,205","6,969","1,546","603","931,536","182,205","52,321","43,736","36,077","27,812","14,625","5,708","1,572","238","116","940,024","246,581","53,839","48,165","49,240","44,050","29,598","14,497","5,397","1,308","487"
"전라남도  (4600000000)","1,905,780","494,954","111,146","103,500","104,788","87,804","52,609","23,846","8,765","1,795","701","951,975","205,346","55,303","49,105","43,781","32,592","16,183","6,287","1,738","279","78","953,805","289,608","55,843","54,395","61,007","55,212","36,426","17,559","7,027","1,516","623"
