행정구역,2018년12월_계_총인구수,2018년12월_계_연령구간인구수,2018년12월_계_60~64세,2018년12월_계_65~69세,2018년12월_계_70~74세,2018년12월_계_75~79세,2018년12월_계_80~84세,2018년12월_계_85~89세,2018년12월_계_90~94세,2018년12월_계_95~99세,2018년12월_계_100세 이상,2018년12월_남_총인구수,2018년12월_남_연령구간인구수,2018년12월_남_60~64세,2018년12월_남_65~69세,2018년12월_남_70~74세,2018년12월_남_75~79세,2018년12월_남_80~84세,2018년12월_남_85~89세,2018년12월_남_90~94세,2018년12월_남_95~99세,2018년12월_남_100세 이상,2018년12월_여_총인구수,2018년12월_여_연령구간인구수,2018년12월_여_60~64세,2018년12월_여_65~69세,2018년12월_여_70~74세,2018년12월_여_75~79세,2018년12월_여_80~84세,2018년12월_여_85~89세,2018년12월_여_90~94세,2018년12월_여_95~99세,2018년12월_여_100세 이상
전국  (0000000000),"51,826,059","11,193,257","3,542,849","2,406,790","1,880,192","1,617,744","1,032,594","484,398","165,694","44,213","18,783","25,866,129","5,023,851","1,751,203","1,155,935","869,294","680,342","376,285","139,164","37,592","9,709","4,327","25,959,930","6,169,406","1,791,646","1,250,855","1,010,898","937,402","656,309","345,234","128,102","34,504","14,456"
서울특별시  (1100000000),"9,765,623","2,084,246","673,949","468,466","372,218","288,607","164,475","74,394","27,804","8,490","5,843","4,773,899","942,672","320,722","220,092","171,611","130,235","65,445","23,864","6,950","2,303","1,450","4,991,724","1,141,574","353,227","248,374","200,607","158,372","99,030","50,530","20,854","6,187","4,393"
부산광역시  (2600000000),"3,441,453","874,182","284,221","203,906","151,390","121,602","68,558","30,117","10,250","2,473","1,665","1,692,421","392,018","136,642","95,951","69,997","52,333","25,412","8,625","2,175",534,349,"1,749,032","482,164","147,579","107,955","81,393","69,269","43,146","21,492","8,075","1,939","1,316"
대구광역시  (2700000000),"2,461,769","532,908","169,974","122,776","87,824","76,762","46,544","20,525","6,423","1,452",628,"1,219,342","235,413","82,680","57,184","39,200","31,659","16,905","5,902","1,444",294,145,"1,242,427","297,495","87,294","65,592","48,624","45,103","29,639","14,623","4,979","1,158",483
인천광역시  (2800000000),"2,954,642","558,602","195,927","119,105","91,638","72,754","45,891","22,260","8,069","2,132",826,"1,481,844","254,898","97,952","58,430","42,893","30,577","16,460","6,061","1,792",537,196,"1,472,798","303,704","97,975","60,675","48,745","42,177","29,431","16,199","6,277","1,595",630
광주광역시  (2900000000),"1,459,336","272,334","85,148","60,133","48,017","38,983","23,763","11,157","3,737","1,025",371,"722,581","120,202","41,123","28,020","21,830","16,437","8,656","3,122",795,178,41,"736,755","152,132","44,025","32,113","26,187","22,546","15,107","8,035","2,942",847,330
대전광역시  (3000000000),"1,489,936","285,272","96,742","62,413","46,300","38,456","24,428","11,626","3,995",993,319,"744,338","129,550","47,514","30,314","21,592","16,362","9,060","3,447",978,210,73,"745,598","155,722","49,228","32,099","24,708","22,094","15,368","8,179","3,017",783,246
울산광역시  (3100000000),"1,155,623","201,236","77,317","47,601","30,625","23,257","13,404","6,250","2,115",509,158,"593,819","94,682","39,233","24,012","14,964","10,019","4,442","1,569",333,78,32,"561,804","106,554","38,084","23,589","15,661","13,238","8,962","4,681","1,782",431,126
세종특별자치시  (3600000000),"314,126","43,947","14,769","9,492","6,622","5,911","4,063","2,145",736,155,54,"156,831","19,792","7,360","4,588","3,127","2,476","1,465",565,168,36,7,"157,295","24,155","7,409","4,904","3,495","3,435","2,598","1,580",568,119,47
경기도  (4100000000),"13,077,153","2,346,568","794,767","495,135","390,436","320,028","204,531","95,293","33,705","9,071","3,602","6,577,501","1,073,540","398,895","239,948","181,198","136,912","76,803","28,673","7,918","2,281",912,"6,499,652","1,273,028","395,872","255,187","209,238","183,116","127,728","66,620","25,787","6,790","2,690"
강원도  (4200000000),"1,543,052","416,228","126,842","80,305","70,180","66,370","42,777","19,546","7,509","1,988",711,"776,456","186,813","63,954","38,765","32,452","27,824","15,881","5,435","1,757",538,207,"766,596","229,415","62,888","41,540","37,728","38,546","26,896","14,111","5,752","1,450",504
충청북도  (4300000000),"1,599,252","379,320","117,557","76,533","60,285","58,146","40,213","18,487","6,093","1,485",521,"808,971","170,446","59,376","37,611","28,112","24,054","14,350","5,058","1,442",302,141,"790,281","208,874","58,181","38,922","32,173","34,092","25,863","13,429","4,651","1,183",380
충청남도  (4400000000),"2,126,282","516,614","144,099","103,997","83,461","80,819","61,600","29,897","9,524","2,438",779,"1,082,009","230,286","72,489","50,787","39,323","33,027","22,582","9,115","2,298",489,176,"1,044,273","286,328","71,610","53,210","44,138","47,792","39,018","20,782","7,226","1,949",603
전라북도  (4500000000),"1,836,832","490,867","132,457","99,878","83,523","79,342","55,907","27,578","9,108","2,326",748,"913,297","214,438","66,119","48,117","38,457","31,625","19,639","7,815","2,095",420,151,"923,535","276,429","66,338","51,761","45,066","47,717","36,268","19,763","7,013","1,906",597
전라남도  (4600000000),"1,882,970","551,115","137,983","108,152","95,217","97,229","66,506","32,331","9,931","2,991",775,"943,000","237,252","70,311","52,844","43,265","38,004","21,834","8,371","2,088",427,108,"939,970","313,863","67,672","55,308","51,952","59,225","44,672","23,960","7,843","2,564",667
경상북도  (4700000000),"2,676,831","737,233","207,884","157,402","116,068","118,968","81,441","38,640","12,891","3,081",858,"1,346,689","323,950","104,460","76,348","53,758","47,301","27,928","10,651","2,771",552,181,"1,330,142","413,283","103,424","81,054","62,310","71,667","53,513","27,989","10,120","2,529",677
경상남도  (4800000000),"3,373,988","764,033","240,868","164,221","122,292","110,731","74,564","36,613","11,624","2,442",678,"1,697,412","336,651","121,099","79,856","56,152","43,170","24,487","9,065","2,275",416,131,"1,676,576","427,382","119,769","84,365","66,140","67,561","50,077","27,548","9,349","2,026",547
제주특별자치도  (5000000000),"667,191","138,552","42,345","27,275","24,096","19,779","13,929","7,539","2,180","1,162",247,"335,719","61,248","21,274","13,068","11,363","8,327","4,936","1,826",313,114,27,"331,472","77,304","21,071","14,207","12,733","11,452","8,993","5,713","1,867","1,048",220
