전국 가구당 식품 소비지출,,,,
,,,,
(단위: 원),,,,
,,,,
전국 가구당 식품 소비지출 테이블입니다.,,,,
구분,,전국가구,,
,,전국가구,근로자가구,근로자외가구
가계지출,2007,"2,583,685","2,768,843","2,326,572"
,2008,"2,718,046","2,945,343","2,383,209"
,2009,"2,775,560","2,990,827","2,449,586"
,2010,"2,960,892","3,171,900","2,638,560"
,2011,"3,114,946","3,348,239","2,744,200"
,2012,"3,216,894","3,458,447","2,812,105"
,2013,"3,261,590","3,514,244","2,826,225"
,2014,"3,355,512","3,631,274","2,873,403"
,2015,"3,373,302","3,640,881","2,903,727"
,2016,"3,361,396","3,665,118","2,852,279"
,,,,
,,,,
소비지출,2007,"2,015,909","2,117,762","1,874,476"
,2008,"2,114,217","2,250,490","1,913,469"
,2009,"2,149,184","2,278,633","1,953,163"
,2010,"2,286,874","2,411,762","2,096,098"
,2011,"2,392,666","2,529,152","2,175,764"
,2012,"2,457,441","2,598,969","2,220,272"
,2013,"2,480,725","2,630,247","2,223,075"
,2014,"2,551,057","2,710,615","2,272,106"
,2015,"2,563,092","2,711,431","2,302,771"
,2016,"2,549,731","2,721,263","2,262,200"
,,,,
,,,,
식료품 및 비주류음료,2007,"277,711","277,281","278,309"
,2008,"298,296","298,700","297,701"
,2009,"297,652","300,127","293,905"
,2010,"316,936","316,353","317,826"
,2011,"339,371","338,213","341,212"
,2012,"349,190","352,910","342,956"
,2013,"348,240","354,282","337,830"
,2014,"351,183","357,757","339,689"
,2015,"354,023","361,395","341,087"
,2016,"349,418","356,871","336,924"
,,,,
,,,,
곡물,2007,"23,419","22,311","24,958"
,2008,"24,935","23,424","27,161"
,2009,"21,957","20,316","24,443"
,2010,"18,617","17,039","21,028"
,2011,"20,647","18,642","23,835"
,2012,"21,092","19,584","23,621"
,2013,"22,358","20,920","24,835"
,2014,"22,152","20,782","24,549"
,2015,"20,101","19,104","21,851"
,2016,"17,340","16,294","19,092"
,,,,
,,,,
곡물가공품,2007,"11,888","12,200","11,455"
,2008,"13,915","14,342","13,286"
,2009,"14,746","15,230","14,012"
,2010,"15,546","15,944","14,938"
,2011,"16,661","17,025","16,084"
,2012,"16,813","17,264","16,057"
,2013,"16,709","17,175","15,908"
,2014,"16,234","16,724","15,377"
,2015,"16,167","16,785","15,084"
,2016,"16,433","17,211","15,129"
,,,,
,,,,
빵 및 떡류,2007,"14,363","15,382","12,948"
,2008,"16,757","18,159","14,692"
,2009,"17,979","19,438","15,769"
,2010,"19,763","21,195","17,576"
,2011,"20,979","22,557","18,472"
,2012,"21,708","23,252","19,121"
,2013,"21,957","23,535","19,239"
,2014,"22,221","24,162","18,829"
,2015,"22,639","24,543","19,297"
,2016,"22,231","24,248","18,850"
,,,,
,,,,
육류,2007,"37,906","36,549","39,790"
,2008,"41,485","40,700","42,640"
,2009,"43,880","43,440","44,545"
,2010,"46,279","45,541","47,408"
,2011,"49,161","48,548","50,136"
,2012,"49,166","49,280","48,975"
,2013,"49,201","49,999","47,827"
,2014,"52,598","53,438","51,129"
,2015,"56,104","56,808","54,868"
,2016,"57,315","57,968","56,219"
,,,,
,,,,
육류가공품,2007,"7,254","7,830","6,455"
,2008,"7,700","8,474","6,559"
,2009,"7,905","8,560","6,913"
,2010,"9,426","10,003","8,544"
,2011,"10,881","11,696","9,585"
,2012,"11,573","12,632","9,798"
,2013,"11,285","12,191","9,724"
