가계지출항목별,2017,2017,2017,2018,2018,2018
가계지출항목별,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
가구원수,2.14,2.31,2.08,2.13,2.33,2.04
가구주연령,70.18,66.16,71.57,69.81,66.34,71.25
가구분포,29.77,14.06,48.44,30.96,16.23,49.83
가계지출,2301210,2799832,2129212,2369185,2841475,2172209
소비지출  ,1811071,2143169,1696514,1860028,2188678,1722960
소계,377114,400478,369055,388518,408263,380283
곡물  ,24787,23933,25082,29663,32382,28529
곡물가공품  ,14840,16674,14208,15149,17021,14368
빵및떡류  ,15181,17283,14456,16562,19326,15410
육류  ,58842,63171,57348,58256,59054,57923
육류가공품  ,6003,7304,5553,7169,7776,6916
신선수산동물  ,35099,32649,35944,33877,29286,35793
염건수산동물  ,11542,11442,11576,10698,11017,10564
기타수산동물가공  ,7851,7979,7806,8106,8369,7996
유제품및알  ,22961,24169,22545,22632,24447,21875
유지류  ,3848,4258,3707,3739,3556,3815
과일및과일가공품  ,46542,51540,44818,50285,59029,46638
채소및채소가공품  ,58466,60900,57626,56307,57369,55864
해조및해조가공품  ,5523,5715,5457,5227,4521,5522
당류및과자류  ,16710,18986,15925,17107,19818,15977
조미식품  ,23096,25154,22386,25865,24750,26330
기타식품  ,11012,12721,10422,12200,14148,11388
커피및차  ,6487,6424,6509,6515,6910,6350
쥬스및기타음료  ,8326,10176,7687,9162,9482,9028
식사비 ,197770,276054,170766,196281,268115,166322
