가계지출항목별 ,2017,2017,2017,2018,2018,2018
가계지출항목별 ,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
소계,360273,359328,361395,366672,363366,370906
곡물  ,16292,13596,19495,19679,17194,22862
곡물가공품  ,16289,17032,15405,16916,17562,16087
빵및떡류  ,22533,25182,19385,23305,26257,19523
육류  ,54831,53898,55940,55309,53172,58047
육류가공품  ,11138,12980,8948,11606,12428,10553
신선수산동물  ,22891,18598,27991,22609,18226,28223
염건수산동물  ,8103,7126,9264,7603,6695,8765
기타수산동물가공  ,7847,7974,7697,7369,7314,7440
유제품및알  ,27427,29122,25414,26384,28183,24079
유지류  ,3012,2748,3326,2931,2684,3246
과일및과일가공품  ,44259,44376,44119,45049,45458,44525
채소및채소가공품  ,40849,35870,46764,39473,34636,45668
해조및해조가공품  ,4486,4260,4755,4334,4051,4697
당류및과자류  ,26141,30012,21541,26122,29891,21294
조미식품  ,14050,11825,16693,15216,12463,18743
기타식품  ,17968,19994,15561,19950,22411,16799
커피및차  ,8437,8960,7816,8499,8907,7977
쥬스및기타음료  ,13720,15772,11281,14318,15833,12377
식사비  ,341002,403506,266740,336133,397121,258019
